library,live,toBeta
tini,DNE,0.18.0
tk,8.6.9,8.6.10
tktable,DNE,2.10
tornado,6.0.3,6.0.4
tqdm,4.35.0,4.43.0
traitlets,4.3.2,4.3.3
tree-page-graphics,0.0.1,0.1.0
typing_extensions,DNE,3.7.4.2
tzlocal,DNE,2.0.0
unixodbc,DNE,2.3.7
urllib3,1.25.3,1.25.7
vega,DNE,3.4.0
vincent,DNE,0.4.4
wcwidth,0.1.7,0.1.8
wheel,0.33.6,0.34.2
widgetsnbextension,3.4.2,3.5.1
windrose,1.6.5,DNE
xlrd,DNE,1.2.0
xmlschema,DNE,1.2.2
xorg-libice,1.0.9,1.0.10
xorg-libx11,1.6.5,1.6.9
xorg-libxau,1.0.8,1.0.9
xorg-libxdmcp,1.1.2,1.1.3
xorg-libxext,1.3.3,1.3.4
xorg-libxpm,DNE,3.5.13
xorg-libxt,DNE,1.1.5
xz,5.2.4,5.2.5
yaml,0.1.7,0.2.2
zeromq,4.2.5,4.3.2
zict,DNE,2.0.0
zipp,DNE,3.1.0
zstd,1.4.0,1.4.4
