library,live,toBeta
r-coda,0.19_3,DNE
r-codetools,0.2_16,DNE
r-colorspace,1.4_1,DNE
r-config,0.3,DNE
r-crayon,1.3.4,DNE
r-curl,4.0,DNE
r-data.table,1.12.2,DNE
r-dbi,1.0.0,DNE
r-dbplyr,1.4.2,DNE
r-desc,1.2.0,DNE
r-devtools,2.0.2,DNE
r-digest,0.6.20,DNE
r-dplyr,0.8.3,DNE
r-e1071,1.7_2,DNE
r-ellipsis,0.2.0.1,DNE
r-evaluate,0.14,DNE
r-extrafont,0.17,DNE
r-extrafontdb,1.0,DNE
r-fansi,0.4.0,DNE
r-fastmatch,1.1_0,DNE
r-forcats,0.4.0,DNE
r-foreach,1.4.7,DNE
r-forecast,8.7,DNE
r-forge,0.2.0,DNE
r-fracdiff,1.4_2,DNE
r-fs,1.3.1,DNE
r-generics,0.0.2,DNE
r-ggplot2,3.2.1,DNE
r-ggrepel,0.8.1,DNE
r-gh,1.0.1,DNE
r-git2r,0.26.1,DNE
r-glue,1.3.1,DNE
r-gower,0.2.1,DNE
r-gtable,0.3.0,DNE
r-haven,2.1.1,DNE
r-hexbin,1.27.3,DNE
r-highr,0.8,DNE
r-hms,0.5.1,DNE
r-htmltools,0.3.6,DNE
r-htmlwidgets,1.3,DNE
r-httpuv,1.5.2,DNE
r-httr,1.4.1,DNE
r-ini,0.3.1,DNE
r-ipred,0.9_9,DNE
r-irdisplay,0.7,DNE
r-irkernel,1.0.2,DNE
r-isocodes,2019.04.22,DNE
r-iterators,1.0.12,DNE
r-jsonlite,1.6,DNE
r-kernsmooth,2.23_15,DNE
r-knitr,1.24,DNE
r-labeling,0.3,DNE
r-later,0.8.0,DNE
r-lattice,0.20_38,DNE
r-lava,1.6.6,DNE
r-lazyeval,0.2.2,DNE
r-lmtest,0.9_37,DNE
r-lubridate,1.7.4,DNE
r-magrittr,1.5,DNE
r-markdown,1.1,DNE
r-mass,7.3_51.4,DNE
r-matrix,1.2_17,DNE
r-memoise,1.1.0,DNE
r-mgcv,1.8_28,DNE
r-mime,0.7,DNE
r-modelmetrics,1.2.2,DNE
r-modelr,0.1.5,DNE
r-modeltools,0.2_22,DNE
r-munsell,0.5.0,DNE
r-network,1.15,DNE
r-nlme,3.1_141,DNE
r-nlp,0.2_0,DNE
r-nnet,7.3_12,DNE
r-numderiv,2016.8_1.1,DNE
r-nycflights13,1.0.0,DNE
r-openssl,1.4.1,DNE
r-pbdzmq,0.3_3,DNE
r-pillar,1.4.2,DNE
r-pkgbuild,1.0.5,DNE
r-pkgconfig,2.0.2,DNE
r-pkgload,1.0.2,DNE
r-plogr,0.2.0,DNE
r-plyr,1.8.4,DNE
r-prettyunits,1.0.2,DNE
r-processx,3.4.1,DNE
r-prodlim,2018.04.18,DNE
r-progress,1.2.2,DNE
r-promises,1.0.1,DNE
r-proxyc,0.1.5,DNE
r-ps,1.3.0,DNE
r-purrr,0.3.2,DNE
r-quadprog,1.5_7,DNE
r-quanteda,1.5.1,DNE
r-quantmod,0.4_15,DNE
r-r2d3,0.2.3,DNE
r-r6,2.4.0,DNE
r-randomforest,4.6_14,DNE
r-rappdirs,0.3.1,DNE
r-rcmdcheck,1.3.3,DNE
r-rcolorbrewer,1.1_2,DNE
r-rcpp,1.0.2,DNE
r-rcpparmadillo,0.9.700.2.0,DNE
r-rcppeigen,0.3.3.5.0,DNE
r-rcppparallel,4.4.4,DNE
r-rcurl,1.95_4.12,DNE
r-readr,1.3.1,DNE
r-readxl,1.3.1,DNE
r-recipes,0.1.6,DNE
r-rematch,1.0.1,DNE
r-remotes,2.1.0,DNE
r-repr,1.0.1,DNE
r-reprex,0.3.0,DNE
r-reshape2,1.4.3,DNE
r-reticulate,1.13,DNE
r-rlang,0.4.0,DNE
r-rmarkdown,1.14,DNE
r-rodbc,1.3_15,DNE
r-rpart,4.1_15,DNE
r-rprojroot,1.3_2,DNE
r-rspectra,0.15_0,DNE
r-rsqlite,2.1.2,DNE
r-rstudioapi,0.10,DNE
r-rttf2pt1,1.3.7,DNE
r-rvest,0.3.4,DNE
r-scales,1.0.0,DNE
r-selectr,0.4_1,DNE
r-sessioninfo,1.1.1,DNE
r-shiny,1.3.2,DNE
r-slam,0.1_45,DNE
r-sna,2.4,DNE
r-snowballc,0.6.0,DNE
r-sourcetools,0.1.7,DNE
r-spacyr,1.2,DNE
r-sparklyr,1.0.2,DNE
r-squarem,2017.10_1,DNE
r-statnet.common,4.3.0,DNE
r-stopwords,1.0,DNE
r-stringi,1.4.3,DNE
r-stringr,1.4.0,DNE
r-survival,2.44_1.1,DNE
r-sys,3.3,DNE
r-tibble,2.1.3,DNE
r-tidyr,0.8.3,DNE
r-tidyselect,0.2.5,DNE
r-tidyverse,1.2.1,DNE
r-timedate,3043.102,DNE
r-tinytex,0.15,DNE
r-tm,0.7_6,DNE
r-topicmodels,0.2_8,DNE
r-tseries,0.10_47,DNE
r-ttr,0.23_4,DNE
r-urca,1.3_0,DNE
r-usethis,1.5.1,DNE
r-utf8,1.1.4,DNE
r-uuid,0.1_2,DNE
r-vctrs,0.2.0,DNE
r-viridislite,0.3.0,DNE
r-whisker,0.4,DNE
r-withr,2.1.2,DNE
r-xfun,0.9,DNE
r-xml2,1.2.2,DNE
r-xopen,1.0.0,DNE
r-xtable,1.8_4,DNE
r-xts,0.11_2,DNE
r-yaml,2.2.0,DNE
r-zeallot,0.1.0,DNE
r-zoo,1.8_6,DNE
rapidfuzz,DNE,0.9.1
requests,2.22.0,2.23.0
retrying,DNE,1.3.3
ripgrep,11.0.2,12.1.1
rise,5.5.1,5.6.1
ruamel.yaml,DNE,0.16.6
ruamel.yaml.clib,DNE,0.2.0
ruamel_yaml,0.15.71,0.15.80
scikit-image,0.16.1,0.17.2
scikit-learn,0.21.3,0.23.1
scipy,1.3.1,1.5.1
seaborn,0.9.0,0.10.1
seaborn-base,DNE,0.10.1
sed,4.7,DNE
sentry-sdk,DNE,0.9.0
setuptools,41.0.1,46.0.0
simplegeneric,0.8.1,DNE
six,1.12.0,1.14.0
sortedcontainers,DNE,2.2.2
soupsieve,1.9.4,2.0.1
spectra,0.0.11,DNE
spectral,0.20,0.21
sqlite,3.29.0,3.30.1
statsmodels,0.10.1,0.11.1
sympy,1.4,1.6.1
tblib,DNE,1.6.0
tensorboard,1.14.0,DNE
tensorflow,1.14.0,DNE
tensorflow-base,1.14.0,DNE
tensorflow-estimator,1.14.0,DNE
termcolor,1.1.0,DNE
terminado,0.8.2,0.8.3
testpath,0.4.2,0.4.4
threadpoolctl,DNE,2.1.0
tifffile,DNE,2020.6.3
tk,8.6.9,8.6.10
tktable,2.10,DNE
tornado,6.0.3,6.0.4
tqdm,4.32.2,4.43.0
traitlets,4.3.2,4.3.3
tree-page-graphics,0.0.1,0.1.0
typing_extensions,DNE,3.7.4.2
urllib3,1.25.3,1.25.7
vega,2.6.0,3.4.0
vincent,DNE,0.4.4
wcwidth,0.1.7,0.1.8
werkzeug,0.16.0,DNE
wheel,0.33.4,0.34.2
wrapt,1.11.2,DNE
xmlschema,DNE,1.2.2
xorg-libx11,1.6.8,1.6.9
xorg-libxpm,DNE,3.5.13
xorg-libxt,DNE,1.1.5
yaml,0.1.7,0.2.2
zict,DNE,2.0.0
zipp,DNE,3.1.0
zstd,1.4.0,1.4.4
