library,live,toBeta
r-tidymodels,0.0.2,0.1.0
r-tidyposterior,0.0.2,0.0.3
r-tidypredict,0.4.3,0.4.5
r-tidyr,0.8.3,1.0.2
r-tidyselect,0.2.5,1.0.0
r-tidytext,0.2.2,0.2.5
r-tidyverse,1.2.1,1.3.0
r-tinytex,0.15,0.20
r-tm,0.7_6,0.7_7
r-topicmodels,0.2_8,0.2_11
r-tree,1.0_39,1.0_40
r-ttr,0.23_4,0.23_6
r-tune,DNE,0.1.1
r-ukbabynames,DNE,0.1.1
r-units,0.6_4,0.6_7
r-usethis,1.5.1,1.6.1
r-uuid,0.1_2,0.1_4
r-v8,DNE,3.2.0
r-vcd,1.4_4,1.4_7
r-vctrs,0.2.0,0.2.4
r-visnetwork,2.0.8,2.0.9
r-webshot,0.5.1,0.5.2
r-workflows,DNE,0.1.2
r-xaringan,0.12,0.16
r-xfun,0.9,0.12
r-xml,3.98_1.20,3.99_0.3
r-xml2,1.2.2,1.3.2
r-xmlschema,DNE,0.8
r-xts,0.11_2,0.12_0
r-yaml,2.2.0,2.2.1
r-yardstick,0.0.4,0.0.7
r-zoo,1.8_6,1.8_7
requests,2.22.0,2.23.0
retrying,DNE,1.3.3
ripgrep,11.0.2,12.1.1
rise,5.5.1,5.6.1
rpy2,DNE,3.3.2
ruamel.yaml,DNE,0.16.6
ruamel.yaml.clib,DNE,0.2.0
ruamel_yaml,0.15.71,0.15.80
scikit-image,DNE,0.17.2
scikit-learn,DNE,0.23.1
scipy,DNE,1.5.0
seaborn,DNE,0.10.1
seaborn-base,DNE,0.10.1
setuptools,41.0.1,46.0.0
simplegeneric,DNE,0.8.1
sip,4.19.8,DNE
six,1.12.0,1.14.0
sortedcontainers,DNE,2.2.2
soupsieve,1.9.4,2.0.1
spectral,DNE,0.21
sqlalchemy,1.3.8,1.3.18
sqlite,3.29.0,3.30.1
statsmodels,DNE,0.11.1
sympy,DNE,1.6.1
tblib,DNE,1.6.0
terminado,0.8.2,0.8.3
testpath,0.4.2,0.4.4
textblob,DNE,0.15.3
threadpoolctl,DNE,2.1.0
tifffile,DNE,2020.6.3
tiledb,1.6.2,1.7.0
tk,8.6.9,8.6.10
toolz,DNE,0.10.0
tornado,6.0.3,6.0.4
tqdm,4.32.2,4.43.0
traitlets,4.3.2,4.3.3
typing_extensions,DNE,3.7.4.2
tzcode,2019a,2020a
tzlocal,DNE,2.1
